start 2026-09-09T12:55:23Z
1 200 0.131691
2 200 0.113532
3 200 0.137467
4 200 0.176429
5 200 0.199955
6 200 0.178429
7 200 0.141134
8 200 0.162913
9 200 0.176751
10 200 0.140837
11 200 0.136092
12 200 0.130134
13 200 0.138276
14 200 0.127247
15 200 0.201253
16 200 0.128220
17 200 0.135948
18 200 0.159659
19 200 0.127821
20 200 0.134941
21 200 0.151603
22 200 0.145888
23 200 0.131022
24 200 0.128875
25 200 0.124655
26 200 0.141427
27 200 0.137262
28 200 0.126024
29 200 0.128444
30 200 0.156297
31 200 0.136581
32 200 0.154746
33 200 0.143181
34 200 0.164561
35 200 0.136924
36 200 0.151004
37 200 0.133550
38 200 0.148893
39 200 0.140542
40 200 0.141871
41 200 0.135977
42 200 0.134578
43 200 0.128924
44 200 0.144820
45 200 0.148821
46 200 0.133860
47 200 0.135369
48 200 0.130178
49 200 0.124121
50 200 0.194233
51 200 0.149939
52 200 0.131879
53 200 0.133822
54 200 0.148665
55 200 0.146666
56 200 0.135179
57 200 0.130457
58 200 0.131180
59 200 0.141437
60 200 0.127739
61 200 0.132091
62 200 0.127292
63 200 0.143199
64 200 0.151029
65 200 0.138925
66 200 0.142093
67 200 0.150445
68 200 0.136527
69 200 0.134465
70 200 0.135088
71 200 0.148632
72 200 0.143906
73 200 0.133090
74 200 0.136207
75 200 0.130029
76 200 0.124964
77 200 0.127066
78 200 0.149521
79 200 0.153109
80 200 0.127713
81 200 0.149700
82 200 0.141364
83 200 0.137000
84 200 0.183719
85 200 0.148577
86 200 0.126210
87 200 0.145663
88 200 0.129189
89 200 0.141702
90 200 0.142080
91 200 0.145249
92 200 0.126524
93 200 0.159040
94 200 0.134634
95 200 0.130978
96 200 0.129053
97 200 0.156453
98 200 0.135385
99 200 0.143582
100 200 0.144315
end 2026-09-09T12:55:39Z
