start 2026-09-09T12:55:54Z
8 200 0.143489
7 200 0.151396
3 200 0.151857
16 200 0.141406
10 200 0.154629
14 200 0.176087
11 200 0.176487
29 200 0.165047
15 200 0.182031
26 200 0.172617
18 200 0.185586
31 200 0.178274
22 200 0.191842
28 200 0.199114
35 200 0.190840
17 200 0.216420
6 200 0.230682
40 200 0.197496
39 200 0.190718
1 200 0.237770
21 200 0.223457
9 200 0.241930
4 200 0.255749
32 200 0.229814
12 200 0.251954
34 200 0.223687
2 200 0.258948
23 200 0.237025
13 200 0.250570
25 200 0.244980
38 200 0.224557
19 200 0.246291
5 200 0.264325
20 200 0.246862
27 200 0.250974
33 200 0.250399
36 200 0.231522
30 200 0.237839
37 200 0.239197
24 200 0.273293
end 2026-09-09T12:55:54Z
