start 2026-09-09T12:58:50Z
4 200 0.157425
10 200 0.165451
21 200 0.200690
40 200 0.157259
1 200 0.244201
31 200 0.173021
16 200 0.226944
25 200 0.221497
38 200 0.185856
17 200 0.261708
35 200 0.226446
5 200 0.300506
24 200 0.272483
14 200 0.276222
7 200 0.295986
36 200 0.230609
28 200 0.283444
23 200 0.313090
29 200 0.267925
8 200 0.336769
12 200 0.336395
13 200 0.335738
6 200 0.346228
9 200 0.353581
32 200 0.287040
15 200 0.318028
27 200 0.321373
34 200 0.322688
18 200 0.331816
33 200 0.295039
20 200 0.336271
39 200 0.288243
26 200 0.339002
2 200 0.381816
30 200 0.337786
22 200 0.363634
19 200 0.365520
11 200 0.386028
37 200 0.357124
3 200 0.403194
end 2026-09-09T12:58:51Z
{"allowed":true,"used":1280,"day":"2026-09-09","remaining":7220,"budget":10000,"hardStop":8500,"resetAt":"2026-09-10T00:00:00.000Z"}
